question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
1,Emma found it impossible to ………… her anger and started shouting.,restrict,inhibit,reserve,contain,contain
2,A meeting was held so that staff could ………… their views freely.,divulge,air,utter,vent,air
3,I put all the ………… points in my report and left out the minor details.,blatant,conspicuous,pronounced,salient,salient
4,"If you go on diet, you’ll find that giving up butter will help you …………. a few pounds.",drop,leave,shed,fall,shed
5,"Because of the heat, the door is ………… and won’t close properly.",blurred,distorted,warped,smudged,warped
6,The number of ballot papers did not ………… with the number of voters.,fit,conform,tally,corespond,tally
7,It was a bad mistake but it had no ………… on the outcome of the match.,bearing,relevance,significance,importance,bearing
8,I’m sure there’s a definite ………… of envy in her nasty comments about you.,factor,ingredient,component,element,element
9,Water suddenly ………… out from a hole in this pipe.,splashed,scattered,squirted,sprinkled,squirted
10,By some terrific ………… Richard came face to face with his future at the precise time he most needed to see it.,muddle,random,fluke,disarray,fluke
11,I think you’re being ………… pessimistic and that you’ll do better than you expect.,additionally,abundantly,unduly,worthlessly,unduly
12,Something had obviously amused him because he was ………… quietly to himself.,groaning,chuckling,grunting,squealing,chuckling
13,"He ………… along the road, in no particular hurry to get there.",limped,paced,ambled,stumbled,ambled
14,She has been taken to hospital suffering from a ………… disc.,torn,slipped,broken,sprained,slipped
15,He’s on his own now-he’ll have to ………… his own canoe!,row,steer,paddle,ride,paddle
16,"He looks very aggressive and threatening, and so his soft, gentle voice is rather ………… .",disembodied,disconcerting,dismissive,discordant,discordant
17,My sister showed great ………… in selling her house when she did because soon afterwards the market fell dramatically.,premonition,forecasting,prediction,foresight,foresight
18,The jury began to believe the accused man might be guilty because his story did not tie ………… with those of the witnesses.,in,on,up,down,in
19,"My brother’s son is a very ………… child, but he has a very sweet nature so it is difficult to be angry with him.",malicious,malevolent,mischievous,malignant,mischievous
20,He gave a ………… of surprise when he saw the damage the crash had caused.,pant,gasp,puff,gulp,gasp
21,Tourism provides people with jobs- albeit often rather ………… ones!,superficial,menial,trivial,remedial,menial
22,All through his life he remained ………… resentful of the way he had been abandoned by his parents as a child.,fully,seriously,completely,bitterly,bitterly
23,The teacher found it quite ………… to try and teach the children because they refused to listen to a word she was saying.,festive,futile,feeble,fatuous,futile
24,In some 19th century novels you see the very poor conditions people lived in that can only be described as ………… misery.,dejected,object,reject,abject,abject
25,Fortunately she took no notice of the reviews of her acting and was quite ………… to some of the more sarcastic comments.,important,impenetrable,immediate,impervious,impervious
26,As soon as he had invested the money he became uneasy and was beginning to sense ………… about his investment.,questions,qualms,queries,quavers,qualms
27,I have no wish to ………… these criminal activities but I do have some sympathy with the perpetrators.,condone,concede,console,conduct,condone
28,When you take a party of tourists round a famous city there are always those who ………… and keep everybody else waiting.,litter,lessen,loiter,languish,loiter
29,That was the day he thought he was going to be blown ………… by a bomb.,out,over,off,up,up
30,………… scientists from around the world met in London to discuss a revolutionary new drug.,Eminent,Elevated,Prestigious,Noteworthy,Eminent
31,The cup is full to the ………… so be careful when you carry it.,border,boundary,verge,brim,brim
32,Bright children who are ………… on the uptake may get bored easily if they are not stimulated enough at school.,swift,fast,quick,rapid,quick
33,The foreman came to the building site to pay the workmen’s …………. .,fees,allowances,salaries,wages,wages
34,The old lady ………… her bag for fear she might lose it.,seized,grabbed,grasped,clutched,clutched
35,I’m sure I was invited to join the committee as the ………… woman.,representative,token,sample,coupon,token
36,I don’t think Paul will ever get married. He’s the stereotypical ………… bachelor.,determined,settled,confirmed,fixed,confirmed
37,The country has few natural resources and its economy has been ………… for some time now.,ailing,diseased,unwell,sickening,ailing
38,The recently discovered documents ………… credence to Professor Vaughan’s interpretation of events.,afford,lend,provide,supply,lend
39,"It’s always nice to see Bella, she’s such a ………… of sunshine.",beam,light,ray,glow,ray
40,Do you have any figures showing the ………… of left-handedness in the population?,occurrence,accidence,persistence,incidence,incidence
41,"James never really broke the rules, but he did ………… them a little bit when it suited him.",twist,curve,bend,move,bend
42,All sides have to accept that the arbitrator’s decision will be ………… .,binding,compelling,tying,fixing,binding
43,There’s a very strong movement now against ………… sports like hunting and shooting.,terminal,killing,death,blood,blood
44,The UN has called for an immediate ………… of hostilities.,deletion,cessation,cancellation,ceasefire,cessation
45,"It was so hot in the restaurant that, after half an hour, we were all starting to ………… .",shrivel,wilt,fade,weed,wilt
46,The ………… of things was that he was sacked from a job that he had held for over twenty years.,upshot,upturn,uptake,upbeat,upshot
47,The next government has promised to tighten the ………… in the law.,errors,knots,loopholes,weaknesses,loopholes
48,She runs an international company and flies overseas as a matter of ………… .,business,life,plan,course,course
49,Don’t ………… your food! You’ll get indigestion.,chew,consume,gorge,bolt,bolt
50,"To be successful, a business must make sure that it has effective ………… of its products.",promotion,publicity,propaganda,hype,promotion
51,Children often ………… their parents for sweets and ice cream.,persuade,encourage,pester,demand,pester
52,Advertising companies are ………… to very strict regulations.,prone,liable,subject,stuck,subject
53,Many people love to watch old movies just to ………… in nostalgia.,flounder,relish,enjoy,wallow,wallow
54,Exorbitant wage demands by actors may be dismissed ………… .,out of hand,by hand,in hand,hand over fist,out of hand
55,Advances in special effects have brought a new ………… of life to the film industry.,surge,lease,time,flash,lease
56,The horror film scared the small child out of her ………… .,skin,nerves,brain,wits,wits
57,It’s easy to see with ………… what went wrong.,recall,restrospect,hindsight,flash-back,hindsight
58,The sky was ………… as the ship left port.,clouded,overcast,overshadowed,covered,overcast
59,The head teachers had known from the ………… that the new policy would be impossible to implement.,onset,offset,overset,outset,outset
60,That’s fine in theory but it’s rather difficult to ………… practice.,see into,put into,place into,have in,put into
61,The ………… for the defence made a very strong attack on the police witness.,counsel,councillor,council,counsellor,counsel
62,What would you like as a ………… before we go to bed?,nightcap,nightjar,nightie,nightfall,nightcap
63,His feelings for her ………… to nothing short of hatred.,went,added,amounted,resulted,amounted
64,Sarah had been working much too hard recently and needed some time to ………… down.,let,wind,run,turn,wind
65,She sat bolt ………… waiting for the result.,erect,upright,vertical,straight,upright
66,"The footballer gave young Jason the ball that had been used in the championship game. He kept it all his life, as a ………… of the occasion.",memory,keepsake,memento,memorial,memento
67,The bank regarded the shop as a going ………… and was happy to arrange a further load.,business,venture,outfit,concern,concern
68,"Because of her recent poor form, she is only expected to come fourth …………. .",at least,at best,at worst,at last,at best
69,The clock ………… every hour.,chimes,sounds,tolls,clicks,chimes
70,The plumber came yesterday to ………… the burst pipe.,look to,look into,see into,see to,see to
71,"This magazine is awful, it is simply ………… to the taste of people who enjoy violence.",pandering,catering,dealing,condescending,pandering
