question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
1,They managed to get a government housing ……………………… to build a new block of flats for young people.,finance,investment,subsidy,funding,subsidy
2,"With its many ………………………, our city is a pleasant place to live in.",amendments,amities,amenities,amnesties,amenities
3,The ……………………… cutting of tropical forests is the main cause of global warming.,inattentive,inauspicious,incongruous,indiscriminate,indiscriminate
4,At first most men were ……………………… by the force of the Women’s Liberation Movement.,battered,bashed,backfired,baffled,baffled
5,"After she met her future daughter-in-law, she thought she was ……………………… to say the least.",variable,altered,unsteady,fickle,fickle
6,"At his debut, the comic was greeted by a ……………………… crowd that soon became a responsive audience.",contagious,cantankerous,conscientious,conscious,cantankerous
7,"You ought to wash at least once a week, ………………………?",ought you,ought you to,oughtn’t you,oughtn’t you to,oughtn’t you
8,"That was your brother on the phone, ………………………?",wasn’t he,isn’t he,wasn’t it,isn’t it,wasn’t it
9,"There are hardly any tickets left for the match, ………………………?",aren’t there,aren’t they,won’t it,are there,are there
10,The roofers will be back in a ……………………… to fix the gutters.,forefront,fortnight,foreground,fortitude,fortnight
11,The new government hopes to bring ……………………… a lot of changes.,round,about,out,on,about
12,George ……………………… to lend us his tent for two weeks.,accepted,agreed,admitted,denied,agreed
13,The doctor told me to ……………………… sweet foods.,cut down,cut away with,cut off,cut out,cut out
14,You must leave your car keys with the ……………………… at this car park.,attendant,client,curator,customer,attendant
15,"Stop being a ………………………, Billy. Can`t you see I`m trying to work?",nuisance,pest,trouble,vermin,nuisance
16,"They’d rather go to school by bus, ………………………?",will they,would they,hadn’t they,wouldn’t they,wouldn’t they
17,"Before ……………………… the basketball, he levitates longer than any other player.",damping,dipping,drawing,dunking,dunking
18,Val found Maths so difficult that her parents hired a(n) ……………………… .,coach,instructor,tutor,guide,tutor
19,……………………… lightening is essential when the room doesn`t have enough windows.,False,Forged,Artificial,Counterfeit,Artificial
20,The best way to show a giraffe your love is to ……………………… a scarf for it.,sew,stitch,knit,spin,knit
21,The relaxed ……………………… of Tom’s parties made us stay until the early hours.,impression,quality,ambience,spirits,ambience
22,"Lincoln is remembered as a politician who ……………………… defended what he believed in, the emancipation of the slaves.",heavily,fervently,deeply,bitterly,fervently
