question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
1,"During the festival, the streets were ………………… with people from all over the world.",crowded,full,occupied,cramped,crowded
2,The boy ………………… to taking the bicycle without anyone’s permission.,agreed,denied,confessed,accepted,confessed
3,The manager decided to consider the proposal that was put ………………… a few days ago.,up,in,forward,ahead,forward
4,"Bullying is considered to be a ………………… of violence, either psychological or physical.",shape,way,form,style,form
5,They spent a great ………………… of time preparing the Christmas dinner.,deal,quantity,degree,spell,deal
6,"I wanted to buy a drink, but the machine was out of ………………….",work,order,stock,operation,order
7,Helen fell over and spilt her milkshake all ………………… her new jeans.,over,around,above,through,over
8,I think I’ll take your ………………… and try to find a new job.,information,opinion,advice,clue,advice
9,"That ………………… the end of the lesson already! We’ve only just started, haven’t we?",mustn’t be,can’t be,mustn’t have been,didn’t have to be,can’t be
10,A lot of ………………… is dumped into the world’s rivers and seas.,damage,fumes,pollution,waste,waste
11,I can’t ………………… the difference between these two cars. They look the same to me.,set,say,learn,tell,tell
12,"He used to be a ………………… smoker, but he managed to give it up easily.",strong,heavy,hard,great,heavy
13,When you complete the course successfully you will receive a ………………… of attendance.,degree,diploma,licence,certificate,certificate
14,"At certain times of the day, there is a discount on the train .................... to London.",fare,ticket,fee,bill,fare
15,Your body ………………… usually gives other people information about how you really feel.,appearance,impression,language,expression,language
16,Samantha ………………… to go to the art gallery with Alice.,denied,prevented,refused,avoided,refused
17,Amy was grateful that her friends stood ………………… her while she was having financial difficulties.,by,for,up to,out,by
18,A: ………………… are pandas like? B: They are black and white animals that live in China.,How,Who,Which,What,What
19,That bag ………………… your shoes. You should buy it.,suits,fits,matches,goes for,matches
20,"Oliver wanted to lose some weight, so he took ………………… swimming.",on,in,off,up,up
21,People are increasingly concerned ………………… the environment.,about,at,of,on,about
22,A: Why didn’t you buy any of those shirts? B: Because ………………… of them fit me.,neither,all,none,both,none
23,Tom prefers watching football ………………… it.,than playing,than play,rather than play,to playing,to playing
24,The police ………………… into the case hoping to solve the crime as soon as possible.,is looking,looks,are looking,look,are looking
25,Georgia broke ………………… in tears when she heard the terrible news.,out,down,up,apart,down
26,They all answered with ………………… unanimous YES.,-,a,an,the,a
27,How many ………………… of garlic should I use to make this spaghetti sauce?,cubes,pinches,lumps,cloves,cloves
28,This time next week Mary and her sister ………………… on the beach.,are sunbathing,will sunbathe,is going to sunbathe,will be sunbathing,will be sunbathing
29,I must congratulate Emma ………………… her exam results.,for,of,on,about,on
30,"If you can’t put up with life in the fast lane, take a break and ………………… a visit to our town.",have,make,do,pay,pay
31,Walking gives you the ………………… of exercise and allows you to experience wonderful scenery.,help,benefit,assistance,allowance,benefit
32,Student exchanges give teenagers the ………………… to live somewhere else for a school year.,opportunity,occasion,reason,cause,opportunity
33,"If you ………………… so many clothes, you would have enough money for rent.",won’t buy,don’t buy,aren’t buying,didn’t buy,didn’t buy
34,You have to ………………… your mind whether you want to come to the party or not.,make up,make out,make up for,make for,make up
35,The children were amazed ………………… the magician’s tricks.,about,for,with,at,at
36,Dan and I haven’t seen ………………… for a long time.,one other,ourselves,each other,us,each other
37,Tom wishes he ………………… here to see me winning the first prize.,is,will be,would be,were,were
38,We managed to catch a ………………… of the president of the company as she was leaving.,look,sight,glimpse,view,glimpse
39,What countries do you look forward …………………?,to visit,visit,to visiting,visiting,to visiting
40,"If she had money, she ………………… the dress.",would buy,will buy,had bought,can buy,would buy
41,What’s the ………………… of your visit? Are you here on business or for a holiday?,reason,purpose,result,outcome,purpose
42,I won’t go to the party ………………… Robert is invited too.,except,provided,supposing,unless,unless
43,Mark suggested ………………… at the bus stop at 12 o’clock.,to meet,meeting,to be meeting,that they will meet,meeting
44,The police succeeded ………………… the man who burgled my house last month.,to catching,to catch,in catching,catching,in catching
45,"Unless you ………………… regularly, you won’t be ready in May.",trained,train,don’t train,won’t train,train
46,She had nothing but a ………………… of yoghurt for breakfast.,carton,tube,pot,packet,pot
47,Eating a lot of chocolate is a sure way to put ………………… weight.,up,on,off,out,on
48,A ………………… broke into our house while we were away this weekend and stole our video.,robber,mugger,burglar,hijacker,burglar
49,"The crossing is likely to last for about nine hours, so it would be wise to book a ………………… on board.",deck,bunk,cabin,compartment,cabin
50,He happened to be the main suspect in the case so he waited to be ………………… that night.,consulted,demanded,interrogated,requested,interrogated
51,The athlete impressed everyone with his ………………… into the pool.,dash,swim,race,dive,dive
52,The weather was rather harsh so the plane circled over the airport until the ………………… was clear.,runway,landing,terminal,motorway,runway
53,The sea ………………… from England to India used to take six months.,trip,travel,voyage,journey,voyage
54,She went back to work ………………… when her youngest child went to school.,half-time,full-time,extra time,temporary,full-time
55,The bike is all covered in mud; he ………………… up the hill despite my warning.,was cycling,has cycled,had been cycling,has been cycling,has been cycling
56,This time next weekend I ………………… on a sunny sandy beach in the Bahamas.,will lie,am lying,will be lying,will have been lying,will be lying
57,The headmaster ………………… my transfer in the middle of the term last year.,hasn’t approved to,didn’t approve of,hasn’t approved of,didn’t approve with,didn’t approve of
58,That joke ………………… me of my father who used to be a very cheerful person.,remembers,recalls,reminisces,reminds,reminds
59,The students ………………… the people in need from time to time.,used to helping,were used to help,got used to helping,would use to help,got used to helping
60,"Believe me or not, she …………………  with that boy since last Christmas.",wasn’t going out,didn’t go out,hasn’t gone out,hadn’t gone out,hasn’t gone out
61,Mr. Collins ………………… for that opportunity for ages and he was very excited.,is waiting,has been waiting,had been waiting,was waiting,had been waiting
62,"………………… she call you immediately, what will you do?",Should,If,Unless,Were,Should
63,"If I had known you weren’t coming, I ………………… so much trouble to welcome you.",didn’t go to,hadn’t gone to,wouldn’t go at,wouldn’t have gone to,wouldn’t have gone to
64,"Although she ………………… the dress in advance, she was worried that it wouldn’t be delivered by Friday.",had ordered,has ordered,would order,orders,had ordered
65,The children can stay with us at the meeting ………………… they don’t make too much noise.,whether,providing,as far as,unless,providing
66,I’m quite happy to lend you the money as ………………… as I get it back.,well,far,long,soon,long
67,It’s July already and it’s high time we ………………… our holiday. I’m afraid we might have left it too late.,book,have booked,booked,had booked,booked
68,All we need now is a .......... of coal and our first snowman is finished.,ball,slice,block,lump,lump
