question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
1,The dog …………… barking loudly last night.,was,were,is,are,was
2,How many boys …………… there in the class?,is,has,are,have,are
3,He was hungry …………… he ate some biscuits.,so,but,or,because,so
4,My father drank …………… coffee just now.,any,a few,a little,few,a little
5,I do not know …………… father.,her,her’s,hers,she’s,her
6,The …………… knives are sharp.,gardener’,gardener,gardeners’,gardeners,gardeners’
7,The dress …………… you gave me is beautiful.,who,whose,which,whom,which
8,All animals …………… food to survive.,needs,is needing,need,are needing,need
9,"Tina usually cooks, but tonight Alex …………… .",cooks,is cooking,cook,cooking,is cooking
10,Mike and Susan have two …………… .,child,children,childs,childrens,children
11,Does your uncle live …………… Main Street?,in,at,on,from,on
12,Ricardo and Maria …………… come to the party. They will decide tomorrow and call you.,maybe,may,might be,may be,may
13,This room is not …………… for 100 people.,big enough,so much big,enough big,bigger,big enough
14,It was a very tricky question but Paul …………… answer it.,was capable to,couldn’t,was able,managed to,managed to
15,I don’t mind …………… here.,wait,waiting,to wait,waited,waiting
16,Ted is making a …………… of banana bread for our neighbours.,bowl,loaf,gallon,pound,loaf
17,"Don and Carol have a new car, ……………?",aren’t they?,don’t they?,won’t they?,aren’t them?,don’t they?
18,I’ll find …………… the name of that restaurant they were talking about.,out,up,on,down,out
19,I’m afraid the printer has …………… out of ink. You can’t use it now.,got,run,went,turned,run
20,You can tell a lot by the way members of a family …………… with each other.,resemble,interact,relate,understand,interact
21,There is a very clear relationship …………… education and academic success.,about,between,for,away,between
22,She is very …………… . All she cares about is clothes and expensive cars.,realistic,optimistic,materialistic,pessimistic,materialistic
23,It’s important to teach children to …………… the truth.,say,speak,talk,tell,tell
24,I had to pay a …………… for parking my car in a restricted area.,fine,find,fee,form,fine
25,"In most countries, it is …………… the law to steal other people’s property.",against,by,for,with,against
26,"The whole mobile phone …………… is experiencing problems, with sales down worldwide.",factory,industry,company,workshop,industry
27,Scientists are picking up a faint radio …………… from space.,signal,sign,beep,sound,signal
28,I’d like to …………… a room in your hotel for the nights of 21st and 22nd July.,make,book,order,pay,book
29,I have to buy …………… sugar and biscuits; I haven’t done any shopping all week.,little,some,few,plenty,some
30,"His idea is great …………… practice, but it will never work.",in,at,on,by,in
31,She learned the whole poem …………… heart for the examination.,at,on,by,from,by
32,"We are leaving the area, so our house is up …………… sale.",for,in,at,by,for
33,"The roof needs …………… . When it rains, there are many roof leaks.",repair,to be repair,repairing,to repairing,repairing
34,"Once Faith had achieved many results in her career, she decided …………… easy for a while.",to take it,to make it,to have it,to do it,to take it
35,They should insure their apartment …………… it is burgled.,though,whether,however,in case,in case
36,Bad news …………… fast.,travel,is travelling,travels,are travelling,travels
37,Brian saw the woman fall into the water and realised that she would …………… unless he acted quickly.,drench,sink,drown,soak,drown
38,"I hope she won’t be late, ……………?",don’t I,will she,does she,won’t she,will she
39,Let’s go by metro. It’s much …………… .,quick,quickly,quicker,quickest,quicker
40,Esra will come as soon as she …………… her tasks.,finish,finishes,will finish,is going to finish,finishes
41,Gabriel doesn’t like reading books …………… have unhappy endings.,who,they,whom,which,which
42,The weather is getting …………… these days.,badly,worse,worst,the worst,worse
43,We are going for a walk. Who …………… to come with us?,is wanting,wants,does want,want,wants
44,George is good …………… learning foreign languages.,at,in,with,for,at
45,…………… broke the window.,Somebody,Anybody,Everybody,Anyone,Somebody
46,I think it’s a lot more difficult to bring …………… children nowadays than it used to be.,out,off,on,up,up
47,My cousin lives …………… a farm.,at,on,in,to,on
48,Peterson was angry …………… his friend and threw a book at him.,with,to,on,about,with
49,Liverpool are sure to …………… Manchester United in the match on Saturday.,win,earn,beat,gain,beat
50,He is a …………… man; he doesn’t hesitate to fight with a lion.,cowardly,brave,healthy,talented,brave
51,He had worked with wood all his life and was a skilled …………… .,potter,carpenter,butcher,plumber,carpenter
52,They have a tennis …………… at the bottom of their garden.,court,field,ground,pitch,court
53,High in the sky a …………… of birds was flying southward.,flock,herd,swarm,peck,flock
54,The river …………… east to the sea.,rolls,moves,pours,flows,flows
55,According to the weather …………… it is going to be fine today.,prediction,indication,announcement,forecast,forecast
56,We farmers have an enormous amount of extra work to do at …………… time.,crop,produce,harvest,collection,harvest
57,"I can’t …………… you my camera, I need it myself.",hire,borrow,let,lend,lend
58,"The current …………… of this town is about 200,000.",membership,group,number,population,population
59,"Buy me a newspaper on your way back, ……………?",do you,will you,have you,don’t you,will you
60,We don’t allow …………… in the classrooms.,that people smoke,smoke,people to smoke,to smoking,people to smoke
61,She gave me the same advice …………… you did.,like,than,as,who,as
62,"…………… you are, the more you laugh.",The happier,More happy,The happy,Happier,The happier
63,I want …………… clear up the mess you’ve made!,that you,you to,you do,you should,you to
64,Thank goodness you’ll be there. I’m …………… on your support.,holding,calling,hanging,counting,counting
65,You’ll lose points if you don’t …………… in all the gaps.,send,fill,fit,join,fill
66,I …………… this play last week.,saw,have seen,was seeing,had seen,saw
67,Why don’t you wear a(n) …………… when you’re cooking.,apron,cloth,duster,towel,apron
68,The tailor made Bob a new …………… .,clothes,dress,suit,blouse,suit
69,The most expensive …………… coats are made of mink.,feather,fur,hair,skin,fur
70,He turned up his …………… to protect his neck from the cold wind.,cap,collar,scarf,sleeve,collar
71,Our …………… was delayed owing to bad weather conditions.,airline,airway,flight,runaway,flight
72,"Would you …………… the salt, please?",carry,deliver,give,pass,pass
73,This avocado …………… rather hard.,feels,senses,smells,tastes,feels
74,In this jar there was a …………… which looked like jam.,material,powder,solid,substance,substance
75,I usually …………… white coffee for breakfast.,consume,eat,have,take,have
76,A cool drink …………… him after his long hot journey.,recovered,refreshed,relaxed,rested,refreshed
77,Would you like me to …………… the tea?,drain,flow,pour,spill,pour
78,My brother lives on the 11th floor of that …………… of flats.,block,building,house,tower,block
79,Will you …………… the beds at once! Our guests are at the door!,clean,cover,make,do,make
80,Mrs Watson has cleaned our house from …………… to bottom.,attic,first floor,roof,top,top
81,Ask your sister if she could give me a(n) …………… with the washing up.,aid,assistance,hand,help,hand
82,It’s your …………… to clean the room; I did it last week.,occasion,time,try,turn,turn
83,It must have been amazing to be the first astronauts …………… space.,in,of,up,to,in
84,A monkey hurt …………… when it tried to get out of the zoo last week.,herself,itself,ourselves,myself,itself
85,Peter and Jane …………… to get married in December.,are planned,are planning,are being planned,are being,are planning
86,…………… something to drink?,Are you like,Do you like,Are you liking,Would you like,Would you like
87,Mr. Rice has been a doctor …………….,since 1980,since 20 years,20 years ago,in 20 years,since 1980
88,You look tired. You …………… go to bed.,are to,need,ought,should,should
89,He refused …………… that job.,to do,doing,do,done,to do
90,My parents are looking forward …………… their oldest son.,to visit,visit,to visiting,visiting,to visiting
91,Do you fancy …………… to the theatre?,going,to go,like going,go,going
92,It took her a long time to get …………… her illness.,out of,over,from,above,over
93,Some scientists believe that we are in danger …………… running out of oil within ten years.,from,for,of,to,of
94,"If you’d like to have two of something, you want a …………… .",pair,pear,pare,payer,pair
95,"If I don’t get enough sleep, I …………… very bad-tempered.",had become,become,became,am becoming,become
96,I know him …………… sight but I can never remember his name.,at,for,by,in,by
97,Do you enjoy ……………  new languages?,learn,to learn,learning,to learning,learning
98,My friend is interested …………… the history of African tribes.,of,about,in,on,in
99,"…………… the tube gently, so as not to waste the toothpaste.",Hit,Strike,Pull,Squeeze,Squeeze
100,She said she couldn’t …………… a new dress on her small salary.,afford,save,spare,spend,afford
